Area,tn,V,D,H
1,1,0.060497011,12.9,9
1,2,0.076996608,12.8,10.9
1,3,0.032357421,9.5,8.3
1,4,0.041931765,10.9,7.3
1,5,0.075563296,14.6,9.8
1,6,0.065304625,13.2,8.9
1,7,0.063041626,13.1,8.4
1,8,0.188982108,19.6,13.4
1,9,0.244601227,19.5,16
1,10,0.231587813,20,15
1,11,0.18492226,20,11
1,12,0.24359547,19.5,16
1,13,0.097597928,15.4,10.5
1,14,0.132442741,16.2,13
1,15,0.113682062,16.7,10.6
1,16,0.163772184,18,13
1,17,0.157459424,21.1,10
1,18,0.269402531,22.4,14.9
1,19,0.296213835,22.4,15.8
1,20,0.363713579,25.6,15
1,21,0.390474782,26.7,15.6
1,22,0.750402643,32,20.8
1,23,1.080928781,40.6,19.9
2,24,0.001415631,2.1,2.26
2,25,0.002900022,3.2,2.8
2,26,0.004670524,4.3,4.4
2,27,0.006649787,5,3.8
2,28,0.563586553,28,19.3
2,29,0.516144416,27.9,17.5
2,30,0.50763708,28.2,17.8
2,31,0.465004765,27.2,16.8
2,32,0.397070302,25.7,18.7
2,33,0.387683937,25.7,17.8
2,34,0.538583998,26.9,19.6
2,35,0.471455222,26,19.6
2,36,0.465963989,29.1,16.3
2,37,0.662075759,29.2,18.9
2,38,0.557879205,29.3,19.3
2,39,0.612630447,29.3,20.6
3,40,0.053009387,11.4,9.6
3,41,0.04326208,11.3,7.7
3,42,0.076711963,11.8,7.9
3,43,0.057861205,12,9.5
3,44,0.046551428,11.1,11.6
3,45,0.060073564,12.3,9.3
3,46,0.086289453,11.7,15.9
3,47,0.003922629,3.5,4.3
3,48,0.008588088,5.1,6.6
3,49,0.010401952,5.3,6.8
3,50,0.0332311,9.5,8.9
3,51,0.035492979,10.5,6.6
3,52,0.027877283,9.9,5.4
3,53,0.038630493,10,8.4
3,54,0.043419255,10.1,9.9
3,55,0.040693251,10,9.3
3,56,0.044468474,10.3,9.7
3,57,0.032448739,9.7,7.6
3,58,0.018625482,8.5,4.9
3,59,0.023907551,8.2,6.7
3,60,0.024974643,7.4,10.6
3,61,0.02175972,7.3,8.7
3,62,0.03589401,8.8,9.8
3,63,0.068894697,13.5,8.6
3,64,0.092779889,14.8,10.6
3,65,0.088812944,13.3,12.9
3,66,0.124317755,13.9,16.6
3,67,0.101811184,13.7,12.9
3,68,0.091827608,14.3,13.8
3,69,0.083087215,13.9,8.8
3,70,0.079149771,13.8,10.6
3,71,0.203877967,19.8,11.9
3,72,0.194190104,19.6,12.9
3,73,0.245416205,19.3,19.5
3,74,0.201623131,19.4,15.4
3,75,0.275979099,19.9,17.9
3,76,0.290798766,20,18.9
3,77,0.272630287,19.4,18.9
3,78,0.201137847,19.4,12.9
3,79,0.120988302,16.1,11.9
3,80,0.111691592,16.9,9.6
3,81,0.157832618,16.3,15.7
3,82,0.145297623,15.3,16.8
3,83,0.138899921,15.5,14.5
3,84,0.178065593,16.5,15.9
3,85,0.136893251,16.4,11.7
3,86,0.110143662,17.2,9.5
3,87,0.120668394,18.6,9.2
3,88,0.123888872,17.3,10.8
3,89,0.209521778,17.5,17.9
3,90,0.175739125,17.7,12.9
3,91,0.155734472,18.5,11.6
3,92,0.222408963,18.9,14.9
3,93,0.334638856,24.5,13.6
3,94,0.326694151,23.1,16.9
3,95,0.301695023,23.1,15.9
3,96,0.383322221,23.3,18.6
3,97,0.260172117,23.4,11.9
3,98,0.266930947,23.6,12.7
3,99,0.260809129,23.2,12.8
3,100,0.324786404,24.9,12.6
3,101,0.234094404,21.2,11.9
3,102,0.348689869,22.1,18.9
3,103,0.376200309,22.6,21.7
3,104,0.388099472,21.7,22.4
3,105,0.428385214,22.5,22.9
3,106,0.320263727,21.3,19.9
3,107,0.328003719,21.4,19.7
3,108,0.213512266,21.7,12.3
3,109,0.225071542,21.9,11.6
3,110,0.43566813,27.3,16.7
3,111,0.461317269,28.6,16.2
3,112,0.400420507,27.3,18.6
3,113,0.522764738,27.6,19.9
3,114,0.487967086,26,18.7
3,115,0.451499039,26,19.6
3,116,0.416394543,25.7,16.9
3,117,0.359615268,25.9,15.8
3,118,0.417706752,25.2,16.9
3,119,0.538563088,29.1,16.8
3,120,0.551262611,30.5,16.9
3,121,0.594240862,29.8,19.3
3,122,0.597343324,30.3,18.7
4,123,0.060334365,12.9,8.9
4,124,0.065026981,11.7,10.3
4,125,0.071458937,12.4,10.4
4,126,0.064608981,12.6,8.6
4,127,0.056077446,11.8,8.8
4,128,0.001237151,2.1,3.1
4,129,0.00441356,4.1,4
4,130,0.003953432,3.8,3.8
4,131,0.011475193,6,6
4,132,0.01202128,6.1,7
4,133,0.012127019,6.1,5.8
4,134,0.010547999,6,5
4,135,0.04014882,10.2,8.8
4,136,0.024724529,8.2,7.9
4,137,0.024394604,8,8.7
4,138,0.062651927,13.9,7.6
4,139,0.076302638,14.7,8.6
4,140,0.080297228,14.1,9.6
5,141,0.000325126,2.2,2.9
5,142,0.002131863,2.4,2.4
5,143,0.001646836,2.5,2.6
5,144,0.002368135,2.8,3.9
5,145,0.002426513,2.9,2.9
5,146,0.00218411,2.7,2.9
5,147,0.001245166,2.4,2.9
5,148,0.004021891,4.2,3.9
5,149,0.00428937,4.2,3.9
5,150,0.005423845,4.3,4.4
5,151,0.002532766,3.6,2.8
5,152,0.003251679,3.7,3.8
5,153,0.003183557,3.6,2.9
5,154,0.008978231,5.1,6.9
5,155,0.007579873,5.1,4.55
5,156,0.012167912,5.7,6.9
5,157,0.007950264,5.4,4.7
5,158,0.025343736,8,7.65
5,159,0.025139589,8.1,7.9
5,160,0.028689234,8.4,8.9
6,161,0.045751387,10.8,9.5
6,162,0.034700294,9.4,9.2
6,163,0.092831768,14.5,11.7
6,164,0.095409117,14,11
6,165,0.105119585,15.7,10.7
6,166,0.16731516,18.5,12.5
6,167,0.205349889,21.8,12.5
6,168,0.39158304,28,13.8
6,169,0.392028392,27.7,14.5
6,170,0.419668503,27.5,16
6,171,0.398808678,28.5,14.2
6,172,0.416692768,28.7,15.4
6,173,0.438576615,28.2,16.5
6,174,0.379487251,25.8,16.5
6,175,0.49402838,30.8,16.4
6,176,0.464724279,30.2,14.7
6,177,0.452595004,30.1,15.3
6,178,0.520008981,29.3,17
7,179,0.072253706,11.8,12.9
7,180,0.053423101,11.8,9
7,181,0.005212217,4.3,5
7,182,0.028050392,9.2,7
7,183,0.035793578,9.8,7.5
7,184,0.028722898,8.9,8.2
7,185,0.021570505,8.1,6.7
7,186,0.022446275,8,7.6
7,187,0.138169514,17.8,11.9
7,188,0.17052008,18.7,13
7,189,0.138207868,17.5,12.4
7,190,0.15110865,18,12
7,191,0.294227853,24.3,14.4
7,192,0.291143101,24,14
7,193,0.29513692,23.2,15.8
7,194,0.266759503,23,13.7
7,195,0.348920544,24.9,15.9
7,196,0.264007413,24.8,13
7,197,0.219641406,22.4,11.8
7,198,0.237728356,21.7,13.8
7,199,0.21714747,21.5,13
7,200,0.245170433,22.5,14
7,201,0.376182898,27.5,14.7
7,202,0.276052372,25.1,13.9
7,203,0.36734769,25.9,14.7
7,204,0.306482709,25.1,13.9
7,205,0.559401769,32.5,15.6
8,206,0.049203523,12.2,7.5
8,207,0.002813812,2.9,2.9
8,208,0.003230668,3.5,3.6
8,209,0.004631259,4.8,3.35
8,210,0.005396014,4.6,3.6
8,211,0.00867088,5.9,4.6
8,212,0.00817455,5.4,4
8,213,0.010243692,5.2,3.85
8,214,0.026269404,9.5,5.9
8,215,0.02527239,9.6,6.5
8,216,0.01470533,7.4,4.9
8,217,0.014193967,7.1,5
8,218,0.027279451,8.9,6.8
8,219,0.239063891,19.8,15.4
8,220,0.111721808,15.7,12.8
8,221,0.128588922,17.1,11.3
8,222,0.198946803,18.7,13.8
8,223,0.437803959,24.3,19.6
8,224,0.374616904,24.1,16.8
8,225,0.482359742,28.5,16.9
8,226,0.445819159,26.3,18.8
8,227,0.666638664,29.3,18.9
